A,p,D_over_Dc,D,s,margin
2,0.01967989671265431,0.7,7.053288091899423e-05,0.15,0.15017232572200911
2,0.01967989671265431,0.7,7.053288091899423e-05,0.48239918373219925,0.15016813684734953
2,0.01967989671265431,0.7,7.053288091899423e-05,0.8147983674643985,0.1501599983931683
2,0.01967989671265431,0.7,7.053288091899423e-05,1.1471975511965977,0.15014880131027497
2,0.01967989671265431,0.7,7.053288091899423e-05,1.4795967349287968,0.15013577114001153
2,0.01967989671265431,0.7,7.053288091899423e-05,1.8119959186609962,0.1501223341155833
2,0.01967989671265431,0.7,7.053288091899423e-05,2.1443951023931955,0.15010996137360766
2,0.01967989671265431,0.7,7.053288091899423e-05,2.4767942861253944,0.15010000767368847
2,0.01967989671265431,0.7,7.053288091899423e-05,2.8091934698575938,0.1500935631042397
2,0.01967989671265431,0.7,7.053288091899423e-05,3.141592653589793,0.15009133350492898
2,0.01967989671265431,0.85,8.564706968735014e-05,0.15,0.07518989915626495
2,0.01967989671265431,0.85,8.564706968735014e-05,0.48239918373219925,0.07518400315893237
2,0.01967989671265431,0.85,8.564706968735014e-05,0.8147983674643985,0.07517254762691383
2,0.01967989671265431,0.85,8.564706968735014e-05,1.1471975511965977,0.07515678691198335
2,0.01967989671265431,0.85,8.564706968735014e-05,1.4795967349287968,0.07513844585526974
2,0.01967989671265431,0.85,8.564706968735014e-05,1.8119959186609962,0.07511953210991762
2,0.01967989671265431,0.85,8.564706968735014e-05,2.1443951023931955,0.07510211631726138
2,0.01967989671265431,0.85,8.564706968735014e-05,2.4767942861253944,0.0750881055145558
2,0.01967989671265431,0.85,8.564706968735014e-05,2.8091934698575938,0.07507903412185368
2,0.01967989671265431,0.85,8.564706968735014e-05,3.141592653589793,0.07507589574835327
2,0.01967989671265431,1.0,0.00010076125845570605,0.15,0.0002006536610070775
2,0.01967989671265431,1.0,0.00010076125845570605,0.48239918373219925,0.00019288028880826147
2,0.01967989671265431,1.0,0.00010076125845570605,0.8147983674643985,0.00017777888933845354
2,0.01967989671265431,1.0,0.00010076125845570605,1.1471975511965977,0.00015700204881952118
2,0.01967989671265431,1.0,0.00010076125845570605,1.4795967349287968,0.0001328236104560787
2,0.01967989671265431,1.0,0.00010076125845570605,1.8119959186609962,0.00010789013052181495
2,0.01967989671265431,1.0,0.00010076125845570605,2.1443951023931955,8.4931351942652e-05
2,0.01967989671265431,1.0,0.00010076125845570605,2.4767942861253944,6.646126094933535e-05
2,0.01967989671265431,1.0,0.00010076125845570605,2.8091934698575938,5.4502655783217335e-05
2,0.01967989671265431,1.0,0.00010076125845570605,3.141592653589793,5.036539361435999e-05
2,0.02760795396678143,0.15,3.0234616444618775e-05,0.15,0.4250989282008164
2,0.02760795396678143,0.15,3.0234616444618775e-05,0.48239918373219925,0.42509847807921486
2,0.02760795396678143,0.15,3.0234616444618775e-05,0.8147983674643985,0.4250976067197163
2,0.02760795396678143,0.15,3.0234616444618775e-05,1.1471975511965977,0.42509640788836833
2,0.02760795396678143,0.15,3.0234616444618775e-05,1.4795967349287968,0.42509501286903917
2,0.02760795396678143,0.15,3.0234616444618775e-05,1.8119959186609962,0.42509357427357974
2,0.02760795396678143,0.15,3.0234616444618775e-05,2.1443951023931955,0.4250922496727765
2,0.02760795396678143,0.15,3.0234616444618775e-05,2.4767942861253944,0.42509118406375435
2,0.02760795396678143,0.15,3.0234616444618775e-05,2.8091934698575938,0.4250904941443929
2,0.02760795396678143,0.15,3.0234616444618775e-05,3.141592653589793,0.4250902554635041
